SI114J-00005-P50019	data/flac/train/04/P5/SI114J-00005-P50019.flac
SI114J-00005-P50020	data/flac/train/04/P5/SI114J-00005-P50020.flac
SI114J-00005-P50021	data/flac/train/04/P5/SI114J-00005-P50021.flac
SI114J-00005-P50022	data/flac/train/04/P5/SI114J-00005-P50022.flac
SI114J-00005-P50023	data/flac/train/04/P5/SI114J-00005-P50023.flac
SI114J-00008-P50019	data/flac/train/05/P5/SI114J-00008-P50019.flac
SI114J-00008-P50020	data/flac/train/05/P5/SI114J-00008-P50020.flac
SI114J-00008-P50021	data/flac/train/05/P5/SI114J-00008-P50021.flac
SI114J-00008-P50022	data/flac/train/05/P5/SI114J-00008-P50022.flac
SI114J-00008-P50023	data/flac/train/05/P5/SI114J-00008-P50023.flac
SI114J-00010-P50019	data/flac/train/05/P5/SI114J-00010-P50019.flac
SI114J-00010-P50020	data/flac/train/05/P5/SI114J-00010-P50020.flac
SI114J-00010-P50021	data/flac/train/05/P5/SI114J-00010-P50021.flac
SI114J-00010-P50022	data/flac/train/05/P5/SI114J-00010-P50022.flac
SI114J-00010-P50023	data/flac/train/05/P5/SI114J-00010-P50023.flac
SI114J-00015-P50019	data/flac/train/05/P5/SI114J-00015-P50019.flac
SI114J-00015-P50020	data/flac/train/05/P5/SI114J-00015-P50020.flac
SI114J-00015-P50021	data/flac/train/05/P5/SI114J-00015-P50021.flac
SI114J-00015-P50022	data/flac/train/05/P5/SI114J-00015-P50022.flac
SI114J-00015-P50023	data/flac/train/05/P5/SI114J-00015-P50023.flac
SI114J-00020-P50019	data/flac/train/05/P5/SI114J-00020-P50019.flac
SI114J-00020-P50020	data/flac/train/05/P5/SI114J-00020-P50020.flac
SI114J-00020-P50021	data/flac/train/05/P5/SI114J-00020-P50021.flac
SI114J-00020-P50022	data/flac/train/05/P5/SI114J-00020-P50022.flac
SI114J-00020-P50023	data/flac/train/05/P5/SI114J-00020-P50023.flac
SI114J-00021-P50019	data/flac/train/05/P5/SI114J-00021-P50019.flac
SI114J-00021-P50020	data/flac/train/05/P5/SI114J-00021-P50020.flac
